team,match,alliance,shelf,balls,hatches,climb,climb_assist_a,climb_assist_b,climb_was_assisted
4683,1,RED,1,2,4,NULL,0,0,0
4683,1,RED,0,4,4,P3,0,0,0
2910,1,RED,0,2,4,P3,0,0,0
2910,1,RED,1,4,4,P12,0,0,0
2903,1,RED,0,2,4,P3,0,0,0
2903,1,RED,0,4,4,NULL,0,0,0
4173,10,RED,0,0,2,P3,0,0,0
4173,10,RED,1,3,1,P3,0,0,0
2928,10,RED,1,0,2,P3,0,0,0
2928,10,RED,1,3,1,P3,0,0,0
4512,10,RED,0,0,2,NULL,0,0,0
4512,10,RED,0,3,1,P3,0,0,0
2930,11,RED,0,1,1,P3,0,0,0
2930,11,RED,0,7,5,P12,0,0,0
949,11,RED,1,1,1,NULL,0,0,0
949,11,RED,0,7,5,P3,0,0,0
1318,11,RED,1,1,1,P3,0,0,0
1318,11,RED,0,7,5,P3,0,0,0
4683,12,RED,1,4,0,P12,0,0,0
4683,12,RED,0,1,3,P3,0,0,0
4469,12,RED,0,4,0,P3,0,0,0
4469,12,RED,1,1,3,P6,0,0,0
3786,12,RED,1,4,0,P3,0,0,0
3786,12,RED,0,1,3,P3,0,0,0
2903,13,RED,0,1,1,P3,0,0,0
2903,13,RED,0,1,2,P3,0,0,0
3219,13,RED,1,1,1,P3,0,0,0
3219,13,RED,1,1,2,NULL,0,0,0
1983,13,RED,0,1,1,P3,0,0,0
1983,13,RED,1,1,2,P3,0,0,0
7627,14,RED,0,3,3,NULL,0,0,0
7627,14,RED,0,0,1,P3,0,0,0
3049,14,RED,1,3,3,P3,0,0,0
3049,14,RED,0,0,1,NULL,0,0,0
3238,14,RED,0,3,3,P3,0,0,0
3238,14,RED,1,0,1,P3,0,0,0
2605,15,RED,1,1,4,P12,0,0,0
2605,15,RED,1,3,3,NULL,0,0,0
360,15,RED,0,1,4,P3,0,0,0
360,15,RED,1,3,3,P12,0,0,0
2930,15,RED,1,1,4,P3,0,0,0
2930,15,RED,0,3,3,P6,0,0,0
4683,16,RED,1,2,8,P12,0,0,0
4683,16,RED,1,1,1,P3,0,0,0
3826,16,RED,1,2,8,P3,0,0,0
3826,16,RED,1,1,1,P3,0,0,0
4089,16,RED,0,2,8,NULL,0,0,0
4089,16,RED,0,1,1,P3,0,0,0
949,17,RED,1,3,1,P3,0,0,0
949,17,RED,0,4,3,P3,0,0,0
2928,17,RED,0,3,1,NULL,0,0,0
2928,17,RED,1,4,3,P12,0,0,0
4309,17,RED,0,3,1,P3,0,0,0
4309,17,RED,0,4,3,NULL,0,0,0
1983,18,RED,1,3,3,P3,0,0,0
1983,18,RED,1,3,3,NULL,0,0,0
1318,18,RED,0,3,3,P3,0,0,0
1318,18,RED,0,3,3,NULL,0,0,0
3238,18,RED,1,3,3,P3,0,0,0
3238,18,RED,1,3,3,P3,0,0,0
7627,19,RED,0,2,4,NULL,0,0,0
7627,19,RED,0,1,3,P3,0,0,0
4579,19,RED,1,2,4,NULL,0,0,0
4579,19,RED,0,1,3,NULL,0,0,0
4513,19,RED,0,2,4,P3,0,0,0
4513,19,RED,0,1,3,P3,0,0,0
2147,2,RED,0,1,3,P3,0,0,0
2147,2,RED,1,1,4,P3,0,0,0
